epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,4.525546682998538e-05,0.0016284359153360128,5.211757638790004e-07,0.0005464566638693213
1,0.0010000000474974513,5.076275897408777e-07,0.0005536586395464838,5.206256901146844e-07,0.0005469713360071182
2,0.0010000000474974513,5.015313604417315e-07,0.0005514536169357598,5.189376679481938e-07,0.0005489786854013801
3,0.0010000000474974513,4.991062496628729e-07,0.0005508777103386819,5.183215421311616e-07,0.0005537095130421221
4,0.0010000000474974513,4.99403085996164e-07,0.0005512073403224349,5.223556058808754e-07,0.0005494992947205901
0,0.0010000000474974513,3.9255275623872876e-05,0.0015512777026742697,5.211754796619061e-07,0.000546589435543865
1,0.0010000000474974513,5.042364819018985e-07,0.0005524209118448198,5.198779717829893e-07,0.0005481579573825002
2,0.0010000000474974513,4.997778546567133e-07,0.0005509197944775224,5.187514489080058e-07,0.0005503447609953582
3,0.0010000000474974513,4.989211674910621e-07,0.000550906581338495,5.207068056733988e-07,0.0005527009489014745
4,0.0010000000474974513,4.995845870325866e-07,0.000551423872821033,5.221884862294246e-07,0.0005498240352608263
