epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,9.892688103718683e-05,0.0052151973359286785,2.933884672984277e-07,0.0004317585553508252
1,0.0010000000474974513,4.480082225200022e-06,0.001578293857164681,2.1403994310276175e-07,0.0003412255900911987
2,0.0010000000474974513,2.1444930098368786e-06,0.0010970099829137325,2.5054589514184045e-07,0.00038910546572878957
3,0.0010000000474974513,1.2813292187274783e-06,0.0008559884154237807,2.09940509421358e-07,0.0003388244076631963
4,0.0010000000474974513,8.514812748217082e-07,0.0007021338096819818,1.8493817321996175e-07,0.000306579313473776
