epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,5.214730845182203e-05,0.003928026650100946,2.7614299824563204e-07,0.0003855066897813231
1,0.0010000000474974513,2.5517751964798663e-06,0.00122273457236588,2.033184784977493e-07,0.00032849807757884264
2,0.0010000000474974513,1.1607725127760204e-06,0.0008230151142925024,1.9338057200002368e-07,0.0003246839332859963
3,0.0010000000474974513,7.380646138699376e-07,0.000653894676361233,1.870563863803909e-07,0.0003115720464847982
4,0.0010000000474974513,5.463192565002828e-07,0.0005615686532109976,1.8703794069097057e-07,0.00031868883525021374
5,0.0010000000474974513,4.31834337177861e-07,0.0004993987386114895,1.869640158247421e-07,0.0003113366838078946
6,0.0010000000474974513,3.630014475675125e-07,0.0004572733014356345,1.8921620892342617e-07,0.0003114288847427815
7,0.0010000000474974513,3.143848630315915e-07,0.0004247530014254153,1.893927361606984e-07,0.00031249516177922487
8,0.0005000000237487257,2.690364340196538e-07,0.0003897071583196521,1.7758341641638253e-07,0.00030295143369585276
9,0.0005000000237487257,2.5647582901910937e-07,0.00037986403913237154,1.8655086364560702e-07,0.0003129002870991826
10,0.0005000000237487257,2.4370251594518777e-07,0.0003690538869705051,1.8420129777041439e-07,0.00030980794690549374
11,0.0005000000237487257,2.3338144217177614e-07,0.0003598291950765997,1.8441882332353998e-07,0.0003124827053397894
12,0.0005000000237487257,2.2265534482812654e-07,0.0003504699270706624,1.7658560125255462e-07,0.000305710214888677
13,0.0005000000237487257,2.1499489832876861e-07,0.0003428806667216122,1.784960375061928e-07,0.0003053192049264908
14,0.0005000000237487257,2.081151109223356e-07,0.00033606134820729494,1.7887545311623398e-07,0.0003045083722099662
15,0.0002500000118743628,1.9381502625037683e-07,0.0003206760447937995,1.749779130477691e-07,0.00030218707979656756
16,0.0002500000118743628,1.9233341674862459e-07,0.0003192681760992855,1.7437294275168824e-07,0.00029867951525375247
17,0.0002500000118743628,1.908933739969143e-07,0.00031770809437148273,1.7315115030669403e-07,0.0002981694706249982
18,0.0002500000118743628,1.8950046865029435e-07,0.00031614521867595613,1.7686643616343645e-07,0.00030295076430775225
19,0.0002500000118743628,1.8818734304204554e-07,0.00031470341491512954,1.7544647334943875e-07,0.0002995779213961214
20,0.0002500000118743628,1.868301637841796e-07,0.00031329478952102363,1.7220969539266662e-07,0.0002983678423333913
21,0.0002500000118743628,1.8535436652200588e-07,0.000311769952531904,1.7422907205855154e-07,0.000298957311315462
22,0.0001250000059371814,1.797290423155573e-07,0.0003049237420782447,1.716861817158133e-07,0.00030081861768849194
23,0.0001250000059371814,1.795119715097826e-07,0.0003047646314371377,1.7081994485579344e-07,0.00029871100559830666
24,0.0001250000059371814,1.7918810613082314e-07,0.0003044121840503067,1.7096691351525806e-07,0.0002986847539432347
25,0.0001250000059371814,1.7871613522402185e-07,0.00030395592330023646,1.7133808682956442e-07,0.00030044338200241327
26,0.0001250000059371814,1.7844683952716878e-07,0.0003036995476577431,1.7160688514650246e-07,0.00030141108436509967
27,0.0001250000059371814,1.78166601472185e-07,0.0003032258537132293,1.720350581990715e-07,0.0003023387398570776
28,0.0001250000059371814,1.7794015150229825e-07,0.0003029710496775806,1.7073425340186077e-07,0.00029905064729973674
29,6.25000029685907e-05,1.7516747163881519e-07,0.00029967506998218596,1.7249823258680408e-07,0.0002983681333716959
0,0.0010000000474974513,1.3144753211236093e-05,0.0019065509550273418,2.2007256461620273e-07,0.0003491812676656991
1,0.0010000000474974513,7.303992788365576e-07,0.0006573437713086605,2.0145199641774525e-07,0.00033464920124970376
2,0.0010000000474974513,4.302863771954435e-07,0.0005011464236304164,1.9435660192357318e-07,0.00031756918178871274
3,0.0010000000474974513,3.3941455512831453e-07,0.0004430279659572989,1.8925202027730847e-07,0.0003152760909870267
4,0.0010000000474974513,2.9726822958764387e-07,0.000413433532230556,1.9519652028066048e-07,0.0003209915885236114
0,0.0010000000474974513,1.1926735169254243e-05,0.001849526190198958,2.1560701668477122e-07,0.0003493296098895371
1,0.0010000000474974513,6.77498633194773e-07,0.0006280643865466118,1.967927119039814e-07,0.00032784140785224736
2,0.0010000000474974513,4.158359274697432e-07,0.0004899571067653596,1.983320601084415e-07,0.00031701321131549776
3,0.0010000000474974513,3.2912492997638765e-07,0.00043485849164426327,1.8544275803833443e-07,0.0003108549863100052
4,0.0010000000474974513,2.872289712740894e-07,0.0004053391166962683,1.9384410165912414e-07,0.0003162476932629943
