epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.008777708746492863,0.06856533139944077,0.0030124278273433447,0.04137260466814041
1,0.0010000000474974513,0.004198486916720867,0.04999568313360214,0.0028055370785295963,0.03965871408581734
2,0.0010000000474974513,0.0035842156503349543,0.04597832262516022,0.0028234990313649178,0.03955554962158203
3,0.0010000000474974513,0.003257997566834092,0.0437079593539238,0.0026621611323207617,0.03857720270752907
4,0.0010000000474974513,0.003068620339035988,0.04229814559221268,0.002747877035290003,0.03928769379854202
